ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest
P1,penelope.martinez4@studentmail.org,Penelope,Martinez,2000-03-03,participant,801-294-7224,Lehi,UT,84105.0,UVU,Arts
P2,natalie.torres6@studentmail.org,Natalie,Torres,2004-06-28,participant,801-877-4733,Ogden,UT,84047.0,East Ridge Middle,STEM
P3,elizabeth.harris7@learners.net,Elizabeth,Harris,2006-04-21,participant,801-573-3664,Riverton,UT,84651.0,UVU,STEM
P4,paisley.jones8@studentmail.org,Paisley,Jones,2004-01-21,participant,801-673-7216,West Jordan,UT,84168.0,Startup Lab,Both
P5,victoria.lee9@ellarises.org,Victoria,Lee,2006-12-31,participant,801-232-6168,West Jordan,UT,84842.0,BYU,STEM
P6,hannah.torres10@learners.net,Hannah,Torres,2012-06-02,participant,801-711-7482,Sandy,UT,84672.0,Mountain View High,STEM
P7,lucy.rodriguez11@studentmail.org,Lucy,Rodriguez,2011-02-02,participant,801-798-8019,Layton,UT,84765.0,SLCC,Arts
P8,victoria.rodriguez12@community.org,Victoria,Rodriguez,2001-06-06,participant,801-248-2796,Ogden,UT,84774.0,Tech Apprenticeship,STEM
P9,elijah.hill13@ellarises.org,Elijah,Hill,2009-11-13,participant,801-810-8668,Bountiful,UT,84391.0,BYU,Both
P10,olivia.davis14@learners.net,Olivia,Davis,2001-07-19,participant,801-500-8123,Lehi,UT,84115.0,Mountain View High,STEM
P11,lucy.allen15@studentmail.org,Lucy,Allen,2012-05-01,participant,801-308-5889,Pleasant Grove,UT,84935.0,Cafe Rio,Both
P12,nora.martinez16@learners.net,Nora,Martinez,1998-01-05,participant,801-997-9689,Orem,UT,84553.0,Local Library,Arts
P13,alexander.johnson17@ellarises.org,Alexander,Johnson,1999-04-20,participant,801-514-4923,Draper,UT,84900.0,Valley Charter,Both
P14,abigail.garcia18@community.org,Abigail,Garcia,2000-11-17,participant,801-745-3060,Ogden,UT,84779.0,Tech Apprenticeship,Arts
P15,chloe.taylor19@community.org,Chloe,Taylor,2013-12-28,participant,801-752-4295,Sandy,UT,84952.0,BYU,Arts
P16,zoe.lewis20@community.org,Zoe,Lewis,2005-08-01,participant,801-430-2049,Logan,UT,84254.0,Westview High,Both
P17,madison.nguyen21@studentmail.org,Madison,Nguyen,2003-02-19,participant,801-924-1964,Salt Lake City,UT,84073.0,East Ridge Middle,STEM
P18,skylar.jones22@studentmail.org,Skylar,Jones,2010-02-04,participant,801-697-4510,Layton,UT,84686.0,North Summit High,Both
P19,jack.thomas23@community.org,Jack,Thomas,2012-10-12,participant,801-296-2588,Taylorsville,UT,84195.0,SLCC,Arts
P20,elijah.clark24@community.org,Elijah,Clark,1999-05-12,participant,801-869-2612,Provo,UT,84690.0,SLCC,Both
P21,violet.miller25@studentmail.org,Violet,Miller,2001-02-22,participant,801-749-8350,Sandy,UT,84195.0,SLCC,STEM
P22,olivia.garcia27@studentmail.org,Olivia,Garcia,2002-10-18,participant,801-697-8886,Orem,UT,84417.0,Community Center,Arts
P23,amelia.hernandez28@community.org,Amelia,Hernandez,2004-05-25,participant,801-471-8454,Salt Lake City,UT,84400.0,SLCC,Both
P24,alexander.martinez29@studentmail.org,Alexander,Martinez,1999-05-15,participant,801-259-9883,Murray,UT,84223.0,Art Studio,Arts
P25,amelia.brown30@community.org,Amelia,Brown,1999-04-11,participant,801-743-3579,Pleasant Grove,UT,84942.0,Cafe Rio,STEM
P26,riley.jones31@ellarises.org,Riley,Jones,2010-12-26,participant,801-322-5033,West Jordan,UT,84414.0,Local Library,STEM
P27,abigail.clark32@learners.net,Abigail,Clark,2003-05-10,participant,801-885-6147,Layton,UT,84210.0,BYU,Arts
P28,elizabeth.jones34@studentmail.org,Elizabeth,Jones,1999-07-18,participant,801-335-6718,Pleasant Grove,UT,84272.0,Startup Lab,STEM
P29,zoe.jackson35@studentmail.org,Zoe,Jackson,2011-09-20,participant,801-756-5956,Riverton,UT,84854.0,Retail Store,Both
P30,mason.smith36@learners.net,Mason,Smith,2000-08-03,participant,801-337-5333,Logan,UT,84962.0,Startup Lab,STEM
P31,scarlett.moore37@learners.net,Scarlett,Moore,2013-06-02,participant,801-551-4335,Sandy,UT,84735.0,Tech Apprenticeship,Arts
P32,mateo.young38@learners.net,Mateo,Young,2004-03-16,participant,801-849-7939,Provo,UT,84095.0,Westview High,STEM
P33,skylar.rodriguez39@learners.net,Skylar,Rodriguez,2010-07-31,participant,801-652-8007,Orem,UT,84760.0,Westview High,STEM
P34,evelyn.martinez40@ellarises.org,Evelyn,Martinez,2007-08-22,participant,801-765-3426,Draper,UT,84597.0,North Summit High,STEM
P35,bella.white41@ellarises.org,Bella,White,2012-12-16,participant,801-898-5088,Draper,UT,84216.0,East Ridge Middle,Arts
P36,noah.flores42@studentmail.org,Noah,Flores,2007-04-01,participant,801-366-3900,West Jordan,UT,84886.0,Westview High,STEM
P37,skylar.clark43@studentmail.org,Skylar,Clark,2006-07-31,participant,801-918-2771,Layton,UT,84164.0,Community Center,STEM
P38,jack.anderson44@studentmail.org,Jack,Anderson,2003-01-01,participant,801-512-4728,Riverton,UT,84359.0,Westview High,Both
P39,zoey.sanchez45@learners.net,Zoey,Sanchez,2005-11-16,participant,801-271-5573,Layton,UT,84886.0,Tech Apprenticeship,Both
P40,liam.wright46@learners.net,Liam,Wright,2011-01-09,participant,801-467-3925,Salt Lake City,UT,84119.0,BYU,STEM
P41,mila.hill47@community.org,Mila,Hill,2011-08-07,participant,801-521-8149,Draper,UT,84747.0,Cafe Rio,STEM
P42,hazel.torres48@studentmail.org,Hazel,Torres,1998-01-14,participant,801-925-8144,Layton,UT,84046.0,Cafe Rio,Both
P43,avery.martin50@learners.net,Avery,Martin,2010-06-08,participant,801-612-5844,Taylorsville,UT,84335.0,North Summit High,STEM
P44,oliver.harris51@studentmail.org,Oliver,Harris,2004-10-25,participant,801-761-1006,Murray,UT,84416.0,BYU,STEM
P45,william.nguyen52@learners.net,William,Nguyen,2009-06-19,participant,801-652-4501,Riverton,UT,84453.0,Mountain View High,Both
P46,chloe.garcia53@learners.net,Chloe,Garcia,2000-02-05,participant,801-848-6491,Pleasant Grove,UT,84680.0,Community Center,STEM
